id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Drive,The Soulfields,r&b,romantic,0.58,96,0.82,0.75,0.42
12,Concrete Jungle,Wavefront MC,hip-hop,energetic,0.85,142,0.72,0.91,0.08
13,Moonlight Sonata Reimagined,Clara Voss,classical,melancholic,0.22,54,0.31,0.28,0.97
14,Neon Countdown,Surge Protocol,edm,euphoric,0.97,128,0.88,0.95,0.03
15,Porch Light,River James,country,nostalgic,0.44,88,0.63,0.52,0.81
16,Left Behind,June Hollow,folk,sad,0.25,66,0.27,0.34,0.93
17,Iron Signal,Blackvault,metal,angry,0.96,168,0.22,0.58,0.04
18,Rise Up Choir,The Ember Collective,soul,uplifting,0.69,104,0.87,0.71,0.61
